die Mahnung,written warning / reminder,"Wir haben eine Mahnung wegen der offenen Rechnung geschickt.","We sent a reminder regarding the outstanding invoice."
das Onlinebanking,online banking,"Ich erledige meine Überweisungen per Onlinebanking.","I do my transfers via online banking."
der Online-Bezahldienst,online payment service,"PayPal ist ein bekannter Online-Bezahldienst.","PayPal is a well-known online payment service."
die Sicherheitsbedenken (Pl.),security concerns,"Es gab Sicherheitsbedenken bei der Transaktion.","There were security concerns regarding the transaction."
der Zahlungsempfänger,payee,"Der Zahlungsempfänger ist die Muster GmbH.","The payee is Muster GmbH."
der Betrag ist fällig zum ...,the amount is due on ...,"Der Betrag ist fällig zum 1. Mai.","The amount is due on May 1st."
... Euro ausgeben,to spend ... euros,"Wir können maximal 500 Euro ausgeben.","We can spend a maximum of 500 euros."
einen Betrag in Höhe von ...,an amount of ...,"Wir fordern einen Betrag in Höhe von 200 Euro.","We demand an amount of 200 euros."
einen Betrag überweisen,to transfer an amount,"Ich habe den Betrag gestern überwiesen.","I transferred the amount yesterday."
einen Betrag vom Konto abbuchen,to debit an amount from the account,"Die Miete wird vom Konto abgebucht.","The rent is debited from the account."
in bar bezahlen,to pay in cash,"Können wir hier in bar bezahlen?","Can we pay in cash here?"
per Lastschrift,by direct debit,"Die Zahlung erfolgt bequem per Lastschrift.","Payment is made conveniently by direct debit."
per Überweisung,by bank transfer,"Bitte zahlen Sie per Überweisung.","Please pay by bank transfer."
eine Rechnung begleichen,to pay an invoice,"Sie müssen die Rechnung sofort begleichen.","You must pay the invoice immediately."
die Zahlung ist eingegangen,the payment has been received,"Ihre Zahlung ist heute bei uns eingegangen.","Your payment was received by us today."
die Zahlungserinnerung,payment reminder,"Dies ist nur eine freundliche Zahlungserinnerung.","This is just a friendly payment reminder."
etw. als gegenstandslos betrachten,to consider something to be groundless/void,"Betrachten Sie das Schreiben als gegenstandslos.","Consider the letter as void."
das Budget,budget,"Unser Budget ist leider begrenzt.","Our budget is unfortunately limited."
das Komma,comma,"Das Ergebnis ist 12 Komma 5 (12,5).","The result is 12 point 5."
das Drittel,third,"Ein Drittel der Kosten übernehmen wir.","We cover one third of the costs."
das Achtel,eighth,"Ein Achtel ist weniger als ein Viertel.","One eighth is less than one quarter."
das Viertel,quarter,"Ein Viertel Stunde sind 15 Minuten.","A quarter of an hour is 15 minutes."
durch (geteilt),divided by,"Zehn geteilt durch zwei ist fünf.","Ten divided by two is five."
gleich,equal to,"Zwei plus zwei ist gleich vier.","Two plus two is equal to four."
mal,times,"Drei mal drei ist neun.","Three times three is nine."
minus,minus,"Zehn minus fünf ist fünf.","Ten minus five is five."
plus,plus,"Fünf plus fünf macht zehn.","Five plus five makes ten."
gut/schlecht wirtschaften,to manage one’s money well/badly,"Die Firma hat in den letzten Jahren gut gewirtschaftet.","The company has managed its money well in recent years."
übrig sein,to be left over,"Es ist kein Geld mehr übrig.","There is no money left over."
German Word,English Meaning,German Example Sentence,English Translation
die Bewertung,review / evaluation,"Wir haben eine positive Bewertung vom Kunden erhalten.","We received a positive review from the customer."
die Enttäuschung,disappointment,"Die Absage war eine große Enttäuschung für ihn.","The rejection was a big disappointment for him."
die Konsequenzen (Pl.),consequences,"Dieser Fehler wird personelle Konsequenzen haben.","This mistake will have personnel consequences."
das Streitgespräch,disputation / argument,"Das Streitgespräch wurde sehr emotional geführt.","The argument was conducted very emotionally."
der Vorfall,incident,"Wir müssen den Vorfall sofort der Leitung melden.","We must report the incident to management immediately."
der Vorwurf,accusation / reproach,"Der Vorwurf der Unpünktlichkeit ist unberechtigt.","The accusation of unpunctuality is unjustified."
fehlerhaft,defective / faulty,"Die gelieferte Ware war leider fehlerhaft.","The delivered merchandise was unfortunately defective."
ungerecht,unfair,"Ich empfinde diese Entscheidung als ungerecht.","I feel this decision is unfair."
bis an die Grenzen arbeiten,to work to one’s limits,"Das Team hat bis an die Grenzen gearbeitet, um das Projekt fertigzustellen.","The team worked to their limits to finish the project."
etw. verallgemeinern,to generalise,"Man darf Einzelfälle nicht verallgemeinern.","One must not generalise individual cases."
gezwungen sein,to be forced,"Wir waren gezwungen, die Produktion zu stoppen.","We were forced to stop production."
jmdn. weiterempfehlen,to recommend someone,"Ich werde Sie gerne weiterempfehlen.","I will happily recommend you."
nicht den Angaben entsprechen,not to be consistent with the information,"Das Produkt entspricht nicht den Angaben im Katalog.","The product is not consistent with the information in the catalogue."
recht bekommen,to get one's own way / be proven right,"Vor Gericht haben wir recht bekommen.","We were proven right in court."
sich gestört fühlen,to feel disturbed,"Die Mitarbeiter fühlen sich durch den Lärm gestört.","The employees feel disturbed by the noise."
Beschwerden beantworten,to respond to complaints,"Wir müssen alle Beschwerden zeitnah beantworten.","We must respond to all complaints promptly."
das konstruktive Streitgespräch,constructive disputation,"Ein konstruktives Streitgespräch kann Lösungen bringen.","A constructive disputation can bring solutions."
einen Vorfall beseitigen,to resolve an incident,"Wir konnten den technischen Vorfall schnell beseitigen.","We were able to resolve the technical incident quickly."
etw. bedauern,to regret something,"Wir bedauern die Unannehmlichkeiten sehr.","We regret the inconvenience very much."
etw. weitergeben,to pass something on,"Ich werde Ihr Feedback an die Abteilung weitergeben.","I will pass your feedback on to the department."
etw. wiedergutmachen,to make up for something,"Wir möchten den Fehler gerne wiedergutmachen.","We would like to make up for the mistake."
nicht wieder vorkommen,not to happen again,"Ich verspreche, dass das nicht wieder vorkommen wird.","I promise that this will not happen again."
einen Gutschein anbieten,to offer a voucher,"Als Entschädigung bieten wir Ihnen einen Gutschein an.","As compensation, we offer you a voucher."
eine Lösung finden,to find a solution,"Wir werden gemeinsam eine Lösung finden.","We will find a solution together."
einen Fehler beheben,to fix a mistake,"Die IT-Abteilung hat den Fehler behoben.","The IT department has fixed the mistake."
einen Fehler zugeben,to admit to a mistake,"Es ist wichtig, eigene Fehler zuzugeben.","It is important to admit one's own mistakes."
sich in die Situation versetzen,to put oneself in the situation,"Versuchen Sie, sich in die Situation des Kunden zu versetzen.","Try to put yourself in the customer's situation."
um Verständnis bitten,to ask for understanding,"Wir bitten um Ihr Verständnis für die Verzögerung.","We ask for your understanding regarding the delay."
Verständnis zeigen,to show understanding,"Er zeigte Verständnis für meine Situation.","He showed understanding for my situation."
die Anforderung,requirement,"Die Anforderungen an das neue Produkt sind hoch.","The requirements for the new product are high."
die Norm,standard,"Das Bauteil entspricht der europäischen Norm.","The component complies with the European standard."
das Qualitätsmanagementsystem,quality management system,"Wir führen ein neues Qualitätsmanagementsystem ein.","We are introducing a new quality management system."
Arbeitsweisen überprüfen,to review working methods,"Wir sollten unsere Arbeitsweisen regelmäßig überprüfen.","We should regularly review our working methods."
Motivation steigern,to enhance motivation,"Ein gutes Betriebsklima kann die Motivation steigern.","A good working atmosphere can enhance motivation."
verbessern,to improve,"Wir wollen unseren Service stetig verbessern.","We want to continuously improve our service."
Produktionsschritte planen,to plan production steps,"Wir müssen die einzelnen Produktionsschritte genau planen.","We have to plan the individual production steps exactly."
Prozesse definieren,to define processes,"Klare Prozesse müssen definiert werden.","Clear processes must be defined."
schriftlich festhalten,to record in writing,"Alle Absprachen werden schriftlich festgehalten.","All agreements are recorded in writing."
Qualität sicherstellen,to assure quality,"Wie können wir die Qualität langfristig sicherstellen?","How can we assure quality in the long term?"
sich richten nach,to be guided by,"Wir richten uns nach den Wünschen der Kunden.","We are guided by the wishes of the customers."
die Agenda,agenda,"Die Agenda für das Meeting wurde gestern verschickt.","The agenda for the meeting was sent out yesterday."
die Ankündigung,announcement,"Die Ankündigung der Fusion überraschte alle.","The announcement of the merger surprised everyone."
der Antrag,application,"Der Antrag auf Budgeterhöhung wurde abgelehnt.","The application for budget increase was rejected."
der Bericht,report,"Der monatliche Bericht liegt auf Ihrem Tisch.","The monthly report is on your desk."
das Besprechungsprotokoll,minutes of the meeting,"Wer schreibt heute das Besprechungsprotokoll?","Who is writing the minutes of the meeting today?"
das Ergebnisprotokoll,results log,"Im Ergebnisprotokoll stehen nur die Beschlüsse.","The results log only contains the decisions."
die Mitarbeiterbesprechung,staff meeting,"Jeden Montag findet eine Mitarbeiterbesprechung statt.","A staff meeting takes place every Monday."
die Projektvorstellung,project presentation,"Die Projektvorstellung war sehr überzeugend.","The project presentation was very convincing."
der Rückblick,review,"Wir begannen mit einem Rückblick auf das letzte Jahr.","We started with a review of the last year."
die Sitzung,meeting / session,"Die Sitzung wurde unterbrochen.","The session was interrupted."
der Tagesordnungspunkt (TOP),agenda item,"Wir kommen nun zum nächsten Tagesordnungspunkt.","We now come to the next agenda item."
die Teambesprechung,team meeting,"In der Teambesprechung verteilen wir die Aufgaben.","In the team meeting, we distribute the tasks."
das Verlaufsprotokoll,history log / minutes,"Das Verlaufsprotokoll dokumentiert die gesamte Diskussion.","The history log documents the entire discussion."
die Vorbesprechung,preliminary discussion,"Wir treffen uns zur Vorbesprechung um 9 Uhr.","We meet for the preliminary discussion at 9 a.m."
mailen,to email,"Können Sie mir die Datei bitte mailen?","Can you email me the file please?"
nachvollziehen,to understand / comprehend,"Ich kann Ihre Entscheidung gut nachvollziehen.","I can well understand your decision."
protokollieren,to record / take minutes,"Herr Müller wird die Sitzung protokollieren.","Mr. Müller will take minutes of the meeting."
widersprechen,to contradict,"Da muss ich Ihnen leider widersprechen.","Unfortunately, I have to contradict you there."
zustimmen,to consent / agree,"Ich kann diesem Vorschlag voll zustimmen.","I can fully agree to this proposal."
der Ansicht sein,to be of the opinion,"Ich bin der Ansicht, dass wir warten sollten.","I am of the opinion that we should wait."
ein Meeting abhalten,to hold a meeting,"Wir müssen dringend ein Meeting abhalten.","We urgently need to hold a meeting."
einen Termin vorziehen,to bring forward an appointment,"Können wir den Termin auf Dienstag vorziehen?","Can we bring the appointment forward to Tuesday?"
der Beamer,video projector,"Der Beamer ist leider defekt.","The video projector is unfortunately broken."
die Besprechungsunterlagen,meeting documents,"Haben alle die Besprechungsunterlagen erhalten?","Has everyone received the meeting documents?"
der Flipchart,flip chart,"Schreiben Sie die Ideen bitte auf den Flipchart.","Please write the ideas on the flip chart."
der Internetzugang,Internet access,"Hier im Raum gibt es keinen Internetzugang.","There is no internet access here in the room."
die Leinwand,screen,"Bitte fahren Sie die Leinwand herunter.","Please lower the screen."
die Moderationskarten (Pl.),presentation cards,"Benutzen Sie Moderationskarten für Ihren Vortrag.","Use presentation cards for your talk."
der Moderationskoffer,presentation case,"Im Moderationskoffer fehlen Stifte.","Pens are missing in the presentation case."
der Netzwerkanschluss,network connection,"Ich brauche einen Netzwerkanschluss für meinen Laptop.","I need a network connection for my laptop."
die Pinnwand,pinboard,"Wir sammeln die Karten an der Pinnwand.","We adhere the cards to the pinboard."
der Tagungsraum,conference room,"Der Tagungsraum ist klimatisiert.","The conference room is air-conditioned."
das Whiteboard,whiteboard,"Bitte wischen Sie das Whiteboard nach Benutzung ab.","Please wipe the whiteboard after use."
der Ausblick,forecast / outlook,"Der Ausblick für das nächste Quartal ist positiv.","The outlook for the next quarter is positive."
das Controlling,controlling,"Das Controlling hat die Zahlen geprüft.","Controlling has checked the figures."
die Jahresbilanz,annual results / balance sheet,"Die Jahresbilanz weist einen Gewinn aus.","The annual balance sheet shows a profit."
die Prognose,prognosis,"Die Prognose für die Umsatzentwicklung ist gut.","The prognosis for sales development is good."
die Quartalsaufstellung,quarterly statement,"Er präsentiert die Quartalsaufstellung.","He is presenting the quarterly statement."
die Quote,quota,"Wir müssen die Quote erfüllen.","We have to meet the quota."
knapp,just under / scarce,"Der Gewinn lag knapp unter einer Million.","The profit was just under one million."
ungefähr,approximately,"Das Projekt dauert ungefähr drei Monate.","The project takes approximately three months."
die Abdeckung,cover,"Öffnen Sie vorsichtig die Abdeckung des Geräts.","Carefully open the cover of the device."
der Anschlusskontakt,contact,"Prüfen Sie, ob die Anschlusskontakte sauber sind.","Check if the contacts are clean."
das Display,display,"Das Display zeigt eine Fehlermeldung.","The display shows an error message."
der Pfeil,arrow,"Drücken Sie den Pfeil nach oben.","Press the arrow up."
der QR-Code,QR code,"Scannen Sie den QR-Code mit Ihrem Handy.","Scan the QR code with your mobile phone."
der Standort,location,"Das Gerät ermittelt Ihren Standort via GPS.","The device determines your location via GPS."
der Touchscreen,touchscreen,"Der Touchscreen reagiert nicht.","The touchscreen is not responding."
der USB-Anschluss,USB port,"Der Drucker wird über den USB-Anschluss verbunden.","The printer connects via the USB port."
aktualisieren,to update,"Sie müssen die Software regelmäßig aktualisieren.","You must update the software regularly."
einrasten,to click into place,"Lassen Sie den Akku hörbar einrasten.","Let the battery click into place audibly."
einrichten,to install / set up,"Ich helfe Ihnen, das Programm einzurichten.","I will help you set up the program."
herunterladen,to download,"Sie können das Formular online herunterladen.","You can download the form online."
navigieren,to navigate,"Navigieren Sie durch das Menü.","Navigate through the menu."
zoomen,to zoom,"Sie können in das Bild zoomen.","You can zoom into the image."
die Arbeitsunfähigkeit,incapacity to work,"Die Arbeitsunfähigkeit muss vom Arzt bestätigt werden.","Incapacity to work must be confirmed by a doctor."
die Bestimmungen (Pl.),regulations,"Bitte beachten Sie die gesetzlichen Bestimmungen.","Please observe the statutory regulations."
die Freistellung,release from work,"Er hat eine bezahlte Freistellung für die Fortbildung bekommen.","He got a paid release from work for the training."
der Freizeitausgleich,time off in lieu,"Für Überstunden gibt es Freizeitausgleich.","There is time off in lieu for overtime."
das Kalenderjahr,calendar year,"Der Urlaub muss im laufenden Kalenderjahr genommen werden.","Leave must be taken in the current calendar year."
die betriebliche Notwendigkeit,operational necessity,"Urlaub kann bei betrieblicher Notwendigkeit verweigert werden.","Leave can be refused in case of operational necessity."
die Arbeitsschutzschuhe (Pl.),protective shoes,"Im Lager sind Arbeitsschutzschuhe Pflicht.","Protective shoes are mandatory in the warehouse."
die Berufsgruppe,group of professions,"Diese Regelung gilt für alle Berufsgruppen.","This regulation applies to all groups of professions."
die Blutung,bleeding,"Stoppen Sie die Blutung mit einem Verband.","Stop the bleeding with a bandage."
der Ersthelfer,first responder,"Rufen Sie sofort einen Ersthelfer.","Call a first responder immediately."
die Evakuierung,evacuation,"Die Evakuierung des Gebäudes verlief ruhig.","The evacuation of the building proceeded calmly."
der Flucht-/Rettungsweg,escape/emergency route,"Die Fluchtwege müssen immer frei bleiben.","Escape routes must always remain clear."
der Gehörschutz,hearing protection,"Tragen Sie in der Halle bitte Gehörschutz.","Please wear hearing protection in the hall."
der Notausgang,emergency exit,"Der Notausgang ist grün gekennzeichnet.","The emergency exit is marked green."
die Platzwunde,laceration,"Er hat sich eine Platzwunde am Kopf zugezogen.","He suffered a laceration on his head."
der Rettungswagen,ambulance,"Der Rettungswagen war in fünf Minuten da.","The ambulance arrived in five minutes."
die Rutschgefahr,slip hazard,"Vorsicht, hier besteht Rutschgefahr!","Caution, there is a slip hazard here!"
die Sammelstelle,assembly point,"Bei Feueralarm treffen wir uns an der Sammelstelle.","In case of fire alarm, we meet at the assembly point."
der Sanitäter,paramedic,"Der Sanitäter versorgte den Verletzten.","The paramedic treated the injured person."
die Schutzausrüstung,protective equipment,"Ohne Schutzausrüstung darf nicht gearbeitet werden.","Work is not allowed without protective equipment."
die Schutzbrille,safety goggles,"Setzen Sie beim Schweißen eine Schutzbrille auf.","Put on safety goggles when welding."
der Schutzhelm,hard hat,"Auf der Baustelle ist Helmpflicht.","Hard hats are mandatory on the construction site."
die Stolpergefahr,risk of tripping,"Kabel am Boden sind eine Stolpergefahr.","Cables on the floor are a tripping hazard."
das Gleichgewicht verlieren,to lose one’s balance,"Er verlor das Gleichgewicht und fiel von der Leiter.","He lost his balance and fell off the ladder."
Erste Hilfe leisten,to administer first aid,"Jeder Mitarbeiter sollte Erste Hilfe leisten können.","Every employee should be able to administer first aid."
in Gefahr bringen,to put in danger,"Bringen Sie sich nicht selbst in Gefahr.","Do not put yourself in danger."
befolgen,to follow / obey,"Bitte befolgen Sie die Sicherheitsvorschriften.","Please follow the safety regulations."
die Abmahnung,warning,"Er erhielt eine Abmahnung wegen Zuspätkommens.","He received a warning for being late."
die Ausnahmegenehmigung,special authorisation,"Für Nachtarbeit brauchen wir eine Ausnahmegenehmigung.","We need a special authorisation for night work."
die Beförderung,promotion,"Sie hofft auf eine baldige Beförderung.","She is hoping for a promotion soon."
die Führungsqualitäten (Pl.),leadership qualities,"Er besitzt ausgezeichnete Führungsqualitäten.","He possesses excellent leadership qualities."
die Honorartätigkeit,fee-based work,"Sie macht eine Honorartätigkeit neben dem Studium.","She does fee-based work alongside her studies."
der Minijob,mini-job,"Wir suchen eine Aushilfe auf Minijob-Basis.","We are looking for temporary help on a mini-job basis."
die Nebentätigkeit,part-time work / secondary employment,"Jede Nebentätigkeit muss dem Arbeitgeber gemeldet werden.","Any secondary employment must be reported to the employer."
die Sperrzeit,blocking time,"Bei Eigenkündigung droht eine Sperrzeit beim Arbeitslosengeld.","If you resign yourself, you risk a blocking time for unemployment benefits."
der Werkvertrag,contract for work and services,"Der Grafiker arbeitet über einen Werkvertrag.","The graphic designer works via a contract for work and services."
die Zeitarbeit,temporary employment,"Er fand den Einstieg über eine Zeitarbeitsfirma.","He found his entry via a temporary employment agency."
befristet,temporary / limited,"Der Arbeitsvertrag ist auf zwei Jahre befristet.","The employment contract is limited to two years."
beiderseits,mutual,"Der Vertrag wurde beiderseits unterschrieben.","The contract was signed by both sides."
der Ablauf der Kündigungsfrist,expiry of the notice period,"Das Arbeitsverhältnis endet mit Ablauf der Kündigungsfrist.","The employment relationship ends with the expiry of the notice period."
die Anrechnung,crediting,"Die Anrechnung von Vorzeiten ist möglich.","Crediting of previous periods is possible."
die ärztliche Bescheinigung,medical certificate,"Ab dem dritten Tag brauchen wir eine ärztliche Bescheinigung.","From the third day on, we need a medical certificate."
aus betrieblichen Gründen,for operational reasons,"Der Urlaub wurde aus betrieblichen Gründen abgelehnt.","Leave was refused for operational reasons."
die betriebsbedingte Kündigung,redundancy,"Wegen der Krise gab es betriebsbedingte Kündigungen.","Due to the crisis, there were redundancies."
bedarf der Schriftform,requires the written form,"Jede Änderung bedarf der Schriftform.","Any change requires the written form."
die Fortzahlung,continued payment,"Im Krankheitsfall haben Sie Anspruch auf Lohnfortzahlung.","In case of illness, you are entitled to continued payment of wages."
im Homeoffice arbeiten,to work from home,"Darf ich morgen im Homeoffice arbeiten?","May I work from home tomorrow?"
die interne Angelegenheit,internal affairs,"Das ist eine interne Angelegenheit, die nicht nach außen dringen darf.","That is an internal matter that must not leak out."
die regelmäßige Arbeitszeit,regular working hours,"Die regelmäßige wöchentliche Arbeitszeit beträgt 40 Stunden.","The regular weekly working hours are 40 hours."
sich arbeitssuchend melden,to register as a jobseeker,"Sie müssen sich drei Monate vor Ende des Vertrags arbeitssuchend melden.","You must register as a jobseeker three months before the end of the contract."
den Vertrag verlängern,to extend the contract,"Wir möchten Ihren Vertrag gerne verlängern.","We would like to extend your contract."
die Arbeitslosenversicherung,unemployment insurance,"Die Arbeitslosenversicherung ist eine Pflichtversicherung.","Unemployment insurance is a mandatory insurance."
die Bruttovergütung,gross remuneration,"Die monatliche Bruttovergütung beträgt 3000 Euro.","The monthly gross remuneration is 3000 euros."
die Kirchensteuer,church tax,"Sind Sie kirchensteuerpflichtig?","Are you liable for church tax?"
die Konfession,denomination,"Die Konfession spielt für die Kirchensteuer eine Rolle.","The denomination plays a role for church tax."
die Lohnsteuer,wage tax,"Die Lohnsteuer wird direkt vom Gehalt abgezogen.","Wage tax is deducted directly from the salary."
der Nettoverdienst,net earnings,"Vom Brutto bleibt ein Nettoverdienst übrig.","Net earnings remain from the gross."
die Pflegeversicherung,long-term care insurance,"Jeder Arbeitnehmer zahlt in die Pflegeversicherung ein.","Every employee pays into the long-term care insurance."
die Rentenversicherung,pension insurance,"Die Rentenversicherung dient der Altersvorsorge.","Pension insurance serves as old-age provision."
der Solidaritätszuschlag,solidarity surcharge,"Der Solidaritätszuschlag wurde teilweise abgeschafft.","The solidarity surcharge was partially abolished."
die Steuerklasse,tax bracket,"Nach der Heirat wechselten sie die Steuerklasse.","After marriage, they changed tax brackets."
abziehen,to subtract / deduct,"Steuern werden vom Bruttolohn abgezogen.","Taxes are deducted from the gross wage."
einbehalten,to retain / withhold,"Der Arbeitgeber muss die Lohnsteuer einbehalten.","The employer must withhold the wage tax."
die Belegschaft,workforce,"Die gesamte Belegschaft wurde informiert.","The entire workforce was informed."
die Gleichberechtigung,equal rights,"Wir setzen uns für Gleichberechtigung am Arbeitsplatz ein.","We advocate for equal rights in the workplace."
die Integration,integration,"Die Integration neuer Mitarbeiter ist wichtig.","The integration of new employees is important."
der Nachfolger,successor,"Wir suchen einen Nachfolger für den Abteilungsleiter.","We are looking for a successor for the department head."
der Schwerbehinderte,severely disabled person,"Schwerbehinderte genießen besonderen Kündigungsschutz.","Severely disabled persons enjoy special protection against dismissal."
Neue Wörter,New words,"Example sentence here","Translation here"
auflösen,to dissolve / to break up,"Das Salz lässt sich in warmem Wasser leicht auflösen.","The salt dissolves easily in warm water."
leichtfallen,to come easily (to someone),"Das Lernen von Sprachen ist ihm schon immer leichtgefallen.","Learning languages has always come easily to him."
austeilen,to hand out / distribute,"Der Lehrer hat heute die korrigierten Prüfungen ausgeteilt.","The teacher handed out the corrected exams today."
auffordern,to request / call upon,"Sie forderte ihn auf, das Zimmer sofort zu verlassen.","She requested him to leave the room immediately."
die Aussicht,the view / prospect,"Von diesem Berg hat man eine fantastische Aussicht.","One has a fantastic view from this mountain."
erzeugen,to produce / generate,"Windräder erzeugen umweltfreundlichen Strom.","Wind turbines generate environmentally friendly electricity."
die Unstimmigkeit,discrepancy / disagreement,"Es gab einige Unstimmigkeiten im Vertrag.","There were some discrepancies in the contract."
die Verteilung,the distribution,"Die Verteilung der Hilfsgüter war gut organisiert.","The distribution of relief goods was well organized."
vorkommen,to happen / to occur,"So ein Fehler ist mir bisher noch nie vorgekommen.","Such a mistake has never happened to me before."
der Vorwurf,the accusation / reproach,"Mach dir bitte keine Vorwürfe wegen des Unfalls.","Please don't reproach yourself regarding the accident."
betreiben,to operate / conduct,"Meine Großeltern betreiben seit Jahren ein kleines Café.","My grandparents have operated a small café for years."
der Geruchssinn,the sense of smell,"Hunde haben einen weitaus besseren Geruchssinn als Menschen.","Dogs have a far better sense of smell than humans."
einrichten,to set up / furnish,"Wir müssen die neue Wohnung noch komplett einrichten.","We still need to completely furnish the new apartment."
betreuen,to look after / supervise,"Wer betreut die Kinder, wenn du auf der Arbeit bist?","Who looks after the children when you are at work?"
die Durchführung,implementation / execution,"Die Durchführung des Projekts wird zwei Monate dauern.","The execution of the project will take two months."
übersichtlich,clear / easy to survey,"Die neue App ist sehr übersichtlich gestaltet.","The new app is designed to be very clear."
umfangreich,extensive / comprehensive,"Das Buch bietet eine umfangreiche Analyse des Themas.","The book offers an extensive analysis of the topic."
die Anschrift,the address,"Bitte geben Sie Ihre aktuelle Anschrift in das Formular ein.","Please enter your current address into the form."
konkurrenzfähig,competitive,"Unsere Preise müssen auf dem Weltmarkt konkurrenzfähig bleiben.","Our prices must remain competitive on the world market."
erregen,to stir up / excite / cause,"Die Nachricht hat in der Stadt großes Aufsehen erregt.","The news caused a great sensation in the city."
verankern,to anchor / establish,"Die Meinungsfreiheit ist fest im Grundgesetz verankert.","Freedom of opinion is firmly anchored in the constitution."
zutrauen,to trust (someone) to do,"Ich traue dir zu, diese schwierige Aufgabe allein zu lösen.","I trust you to solve this difficult task alone."
beibringen,to teach (a skill),"Mein Vater hat mir letztes Jahr das Kochen beigebracht.","My father taught me how to cook last year."
jeweilig,respective / particular,"Bitte beachten Sie die jeweiligen Sicherheitsvorschriften.","Please observe the respective safety regulations."
Neue Wörter,New words,"Example sentence here","Translation here"
unterbringen,to accommodate / house,"Wir konnten alle Gäste im Hotel unterbringen.","We were able to accommodate all guests in the hotel."
gewaltig,enormous / powerful,"Der Sturm hat gewaltige Schäden in der Stadt angerichtet.","The storm caused enormous damage in the city."
vermehren (sich),to increase / multiply,"Die Bakterien vermehren sich bei Wärme sehr schnell.","Bacteria multiply very quickly in warmth."
wischen,to wipe / mop,"Kannst du bitte den Tisch kurz abwischen?","Can you please wipe the table quickly?"
herrenlos,stray / ownerless,"Die Polizei hat einen herrenlosen Koffer am Bahnhof gefunden.","The police found an unattended suitcase at the station."
verwahrlost,neglected / dilapidated,"Der Garten sieht völlig verwahrlost aus.","The garden looks completely neglected."
zufügen,to inflict / cause (harm),"Ich wollte dir mit meiner Kritik keinen Schmerz zufügen.","I did not want to cause you any pain with my criticism."
einhaken,to hook in / link arms,"Sie hakte sich bei ihrem Mann ein, als sie spazieren gingen.","She linked arms with her husband as they went for a walk."
beliefern,to supply / deliver to,"Die Bäckerei beliefert täglich mehrere Cafés.","The bakery supplies several cafes daily."
das Reh,the deer / doe,"Im Morgengrauen haben wir ein Reh am Waldrand gesehen.","At dawn, we saw a deer at the edge of the forest."
unzählig,countless / innumerable,"Es gibt unzählige Sterne am Nachthimmel.","There are countless stars in the night sky."
innerhalb,within / inside of,"Bitte bezahlen Sie die Rechnung innerhalb von 14 Tagen.","Please pay the invoice within 14 days."
kostbar,precious / valuable,"Zeit ist unser kostbarstes Gut.","Time is our most precious asset."
die Dürre,the drought,"Die langanhaltende Dürre schadet der Landwirtschaft.","The long-lasting drought is harming agriculture."
fließend,fluent / flowing,"Nach zwei Jahren in Berlin sprach er fließend Deutsch.","After two years in Berlin, he spoke fluent German."
damalig,then / at that time,"Mein damaliger Lehrer hat mich sehr inspiriert.","My teacher at that time inspired me a lot."
das Gewissen,the conscience,"Er hat ein schlechtes Gewissen, weil er den Termin vergessen hat.","He has a guilty conscience because he forgot the appointment."
maßgeblich,significant / decisive,"Sie war maßgeblich am Erfolg der Verhandlungen beteiligt.","She played a decisive role in the success of the negotiations."
der Verstand,the mind / intellect / reason,"Benutz doch bitte deinen gesunden Menschenverstand!","Please just use your common sense!"
der Vordergrund,the foreground,"Im Vordergrund des Fotos sieht man spielende Kinder.","In the foreground of the photo, one can see playing children."
der Hintergrund,the background,"Was ist der Hintergrund dieser Entscheidung?","What is the background of this decision?"
drauf,on it / atop (colloquial),"Leg das Buch einfach oben drauf.","Just put the book on top."
Neue Wörter,New words,"Example sentence here","Translation here"
der Hinflug,the outward flight,"Der Hinflug nach Tokio dauert elf Stunden.","The outward flight to Tokyo takes eleven hours."
der Rückflug,the return flight,"Wann ist dein Rückflug für Sonntag geplant?","When is your return flight scheduled for Sunday?"
dazugehörig,associated / belonging,"Hier ist die Tasche und das dazugehörige Kabel.","Here is the bag and the associated cable."
erheblich,considerable / significant,"Es gibt erhebliche Unterschiede zwischen den Preisen.","There are significant differences between the prices."
der Hafen,the harbor / port,"Die Schiffe liegen sicher im Hafen.","The ships are lying safely in the harbor."
stammen,to originate / stem,"Dieser Wein stammt aus einem kleinen Dorf in Italien.","This wine comes from a small village in Italy."
die Unannehmlichkeit,inconvenience,"Wir entschuldigen uns für die Unannehmlichkeit.","We apologize for the inconvenience."
vermeiden,to avoid,"Man sollte Stress so gut wie möglich vermeiden.","One should avoid stress as much as possible."
geeignet,suitable / appropriate,"Dieser Film ist nicht für Kinder geeignet.","This film is not suitable for children."
unaufdringlich,unobtrusive / discreet,"Das Parfüm hat einen angenehmen, unaufdringlichen Duft.","The perfume has a pleasant, unobtrusive scent."
zweckmäßig,practical / functional,"Die Kleidung für die Wanderung sollte zweckmäßig sein.","The clothing for the hike should be practical."
vornehm,posh / elegant,"Sie wohnen in einem sehr vornehmen Viertel.","They live in a very posh neighborhood."
vergnügen (sich),to enjoy oneself,"Die Kinder vergnügen sich auf dem Spielplatz.","The children are enjoying themselves on the playground."
zahlreich,numerous,"Es gab zahlreiche Beschwerden über den Lärm.","There were numerous complaints about the noise."
