Musik in meinen Ohren,music to your ears,"This news was music to our ears.","Diese Nachricht war Musik in unseren Ohren."
spontan entscheiden / improvisieren,to play something by ear,"Don't follow a script in the interview – just play it by ear.","Folge im Interview keinem Skript – entscheide einfach spontan."
das Wortspiel,pun,"My grandfather likes making puns.","Mein Großvater mag es, Wortspiele zu machen."
der/die Skeptiker/-in,sceptic,"When it comes to climate change, he's still a sceptic.","Wenn es um den Klimawandel geht, ist er immer noch ein Skeptiker."
jdn. berühren / Anklang finden,to strike a chord,"The photo struck a chord with me.","Das Foto hat mich berührt."
etw. durchmachen / erleben,to undergo,"The city has undergone huge changes in recent years.","Die Stadt hat in den letzten Jahren große Veränderungen durchgemacht."
das Attentat,assassination,"The assassination of John Lennon in 1980.","Das Attentat auf John Lennon im Jahr 1980."
der/die Schiffbrüchige,castaway,"Robinson Crusoe is probably the most famous castaway in fiction.","Robinson Crusoe ist wahrscheinlich der berühmteste Schiffbrüchige in der Literatur."
vertrieben,displaced,"The conflict produced thousands of displaced persons.","Der Konflikt brachte Tausende von Vertriebenen hervor."
ekstatisch,ecstatically,"The crowd cheered ecstatically when Ed Sheeran appeared.","Die Menge jubelte ekstatisch, als Ed Sheeran erschien."
die Splitterpartei / Fraktion,faction,"The party eventually split into two rival factions.","Die Partei spaltete sich schließlich in zwei rivalisierende Fraktionen."
die Mühsal / das Elend,hardship,"Too many people are living in hardship here.","Zu viele Menschen leben hier im Elend."
der Hit / Schlager,hit,"The video game was a big hit with Luis.","Das Videospiel war ein großer Hit bei Luis."
einen wunden Punkt treffen,to hit a nerve,"You hit a nerve when you told Pedro he needed to study harder.","Du hast einen wunden Punkt getroffen, als du Pedro sagtest, er müsse mehr lernen."
mit wechselndem Erfolg / Glückssache,hit and miss,"The recruitment process is a bit hit and miss.","Der Einstellungsprozess ist ein ziemliches Glücksspiel."
den Nagel auf den Kopf treffen,to hit the nail on the head,"You hit the nail on the head there.","Da hast du den Nagel auf den Kopf getroffen."
den richtigen Ton treffen,to hit the right note,"The best man managed to hit the right note in his speech.","Dem Trauzeugen gelang es, in seiner Rede den richtigen Ton zu treffen."
einflößen / einimpfen,to instil,"I did try and instil a bit of discipline into him.","Ich habe versucht, ihm ein wenig Disziplin einzuflößen."
sein Leben aufs Spiel setzen,to put your life on the line,"Marley put his life on the line for justice.","Marley setzte sein Leben für die Gerechtigkeit aufs Spiel."
der/die Retter/-in,saviour,"In many developing countries, Marley is seen as a saviour.","In vielen Entwicklungsländern wird Marley als ein Retter angesehen."
einen schweren Schlag bekommen,to take a hit,"They took a big hit when the stock market crashed.","Sie mussten einen schweren Schlag hinnehmen, als der Aktienmarkt zusammenbrach."
der Discjockey,disc jockey,"He'd always wanted to be a disc jockey.","Er wollte schon immer ein Discjockey sein."
verschmelzen / fusionieren,to fuse,"The show fuses storytelling with folk music and humour.","Die Show verschmilzt Geschichtenerzählen mit Volksmusik und Humor."
auf der faulen Haut liegen,to laze around,"I was supposed to be revising but just lazed around for a few weeks.","Ich sollte eigentlich lernen, lag aber nur ein paar Wochen auf der faulen Haut."
durchstechen / durchdringen,to pierce,"The intensity of the emotion pierces the listener's body like a knife.","Die Intensität der Emotion durchdringt den Körper des Zuhörers wie ein Messer."
wiedererlangen,to regain,"The important thing is to rest and regain your health.","Das Wichtigste ist, sich auszuruhen und die Gesundheit wiederzuerlangen."
der/die Gangster/-in,gangster,"Al Capone was a famous American gangster.","Al Capone war ein berühmter amerikanischer Gangster."
unterdrückt,oppressed,"We felt oppressed and unwanted.","Wir fühlten uns unterdrückt und unerwünscht."
das Privileg / Sonderrecht,privilege,"It was a privilege to be invited to a garden party.","Es war ein Privileg, zu einer Gartenparty eingeladen zu werden."
die Lumpen,rags,"He never bathed and dressed in rags.","Er badete nie und kleidete sich in Lumpen."
der Trost,solace,"She took solace in the fact that she would see her children again.","Sie fand Trost in der Tatsache, dass sie ihre Kinder wiedersehen würde."
die Drangsal / das Leid,tribulations,"Life in the navy had its tribulations now and again.","Das Leben in der Marine brachte hin und wieder Leid mit sich."
die Windhose / der Wirbelsturm,cyclone,"The islands are occasionally hit by cyclones.","Die Inseln werden gelegentlich von Wirbelstürmen heimgesucht."
die Hungersnot,famine,"The district suffered a severe famine in 1770.","Der Bezirk erlitt 1770 eine schwere Hungersnot."
Neue Wörter,New words,"Example sentence here","Translation here"
der Hinweis,clue,"She gave me some clues about what my present was going to be.","Sie gab mir einige Hinweise, was mein Geschenk sein würde."
rückschließen / herleiten,to deduce,"We can deduce that these were monuments of great social significance.","Wir können daraus schließen, dass dies Denkmäler von großer sozialer Bedeutung waren."
die Tonwaren / das Steinzeug,pottery,"Some of the pieces of pottery they found were over 1,000 years old.","Einige der gefundenen Tonwaren waren über 1.000 Jahre alt."
zielen auf,to aim,"The films are aimed at a middle-class audience.","Die Filme zielen auf ein bürgerliches Publikum ab."
genehmigen / gutheißen,to approve,"My dad didn't approve of our marriage.","Mein Vater hieß unsere Ehe nicht gut."
glauben an,to believe,"My father never believed in me.","Mein Vater hat nie an mich geglaubt."
profitieren,to benefit,"The garden benefits from sunshine most of the afternoon.","Der Garten profitiert den größten Teil des Nachmittags vom Sonnenschein."
das Internat,boarding school,"She went to boarding school from the age of 12.","Sie ging ab dem 12. Lebensjahr auf ein Internat."
ansprechend / fesselnd,engaging,"Her lessons were always very engaging.","Ihr Unterricht war immer sehr ansprechend."
die Ewigkeit,eternity,"Do you want to live for eternity?","Willst du für die Ewigkeit leben?"
sich konzentrieren,to focus,"You need to focus more on your school work.","Du musst dich mehr auf deine Schularbeit konzentrieren."
der Mainstream / die Hauptrichtung,mainstream,"Hip hop has become increasingly mainstream.","Hip-Hop ist zunehmend Mainstream geworden."
teilnehmen,to participate,"We try and encourage more people to participate in the arts.","Wir versuchen, mehr Menschen zur Teilnahme an den Künsten zu ermutigen."
schmachten / sich sehnen,to pine,"Her dog spent months pining for her after she died.","Ihr Hund sehnte sich nach ihrem Tod monatelang nach ihr."
vorbereiten,to prepare,"I have to prepare a talk for class tomorrow.","Ich muss einen Vortrag für den Unterricht morgen vorbereiten."
reflektieren / nachdenken,to reflect,"As I reflected on my actions, I had to accept that they were wrong.","Als ich über meine Handlungen nachdachte, musste ich akzeptieren, dass sie falsch waren."
eine Beziehung haben / nachempfinden,to relate,"It's difficult to relate to my uncle.","Es ist schwierig, einen Draht zu meinem Onkel zu finden."
zurückschrecken,to shrink,"Don't shrink from new experiences.","Schreck nicht vor neuen Erfahrungen zurück."
leiden,to suffer,"Ruth has always suffered from headaches.","Ruth hat schon immer unter Kopfschmerzen gelitten."
warten,to wait,"I've been waiting for your letter.","Ich habe auf deinen Brief gewartet."
beschuldigen,to accuse,"She was accused of fraud.","Sie wurde des Betrugs beschuldigt."
freisprechen,to acquit,"She was acquitted of all the charges against her.","Sie wurde von allen gegen sie erhobenen Anklagepunkten freigesprochen."
amputieren,to amputate,"His other leg was amputated seven years ago.","Sein anderes Bein wurde vor sieben Jahren amputiert."
der Angriff / Übergriff,assault,"Violent crimes such as murder and assault.","Gewaltverbrechen wie Mord und Körperverletzung."
angenommen (dass),assuming,"Assuming we're all ready, we can leave now.","Angenommen, wir sind alle bereit, können wir jetzt gehen."
der Einbruch,burglary,"There have been a lot of burglaries in the area.","Es gab viele Einbrüche in der Gegend."
anklagen / beschuldigen,to charge,"He was arrested and charged with murder.","Er wurde verhaftet und wegen Mordes angeklagt."
begangen,committed,"If you don't want to go to prison, don't commit a crime.","Wenn du nicht ins Gefängnis willst, begehe kein Verbrechen."
die Verurteilung,conviction,"She had two previous convictions.","Sie hatte zwei Vorstrafen."
gefährliche Fahrweise,dangerous driving,"He denies speeding and dangerous driving.","Er bestreitet Geschwindigkeitsüberschreitung und gefährliche Fahrweise."
die Täuschung / der Schwindel,deception,"When his deception was discovered, Graham was fired.","Als seine Täuschung entdeckt wurde, wurde Graham gefeuert."
der Betrug,fraud,"He was sent to prison for tax fraud.","Er wurde wegen Steuerbetrugs ins Gefängnis geschickt."
angesichts,given,"She did really well given the circumstances.","Angesichts der Umstände hat sie sich wirklich gut geschlagen."
vor Gericht stehen,to go on trial,"He's due to go on trial at the end of next week.","Er soll Ende nächster Woche vor Gericht stehen."
das Getreide,grain,"We feed our chickens grain.","Wir füttern unsere Hühner mit Getreide."
der Drogenbesitz,possession of drugs,"He spent a year in prison after being convicted of possession of drugs.","Er verbrachte ein Jahr im Gefängnis, nachdem er wegen Drogenbesitzes verurteilt worden war."
behaupten / bekennen,to profess,"She professes to have a certificate in translation studies.","Sie behauptet, ein Zertifikat in Übersetzungswissenschaften zu haben."
sofern / vorausgesetzt,provided,"Provided that we receive the money tomorrow...","Vorausgesetzt, wir erhalten das Geld morgen..."
das Spiel ist aus,the game is up,"As soon as he saw her face he realised the game was up.","Sobald er ihr Gesicht sah, erkannte er, dass das Spiel aus war."
der Diebstahl,theft,"He was found guilty of theft.","Er wurde des Diebstahls schuldig befunden."
das unbefugte Betreten,trespassing,"The official charge was trespassing on military property.","Die offizielle Anklage lautete auf unbefugtes Betreten von Militärgelände."
der Vandalismus,vandalism,"The house had been damaged by vandalism.","Das Haus war durch Vandalismus beschädigt worden."
einwandfrei / legal,above board,"Are you sure the plan is completely above board?","Bist du sicher, dass der Plan völlig einwandfrei ist?"
durch die Bank / pauschal,across the board,"The tax increases will be applied across the board.","Die Steuererhöhungen werden pauschal angewendet."
wieder von vorn anfangen,back to the drawing board,"It's back to the drawing board.","Wir müssen wieder von vorn anfangen."
der Brocken / das Stück,chunk,"Cut the beef into 2cm chunks.","Schneide das Rindfleisch in 2 cm große Stücke."
erlesen / exquisit,exquisite,"An exquisite diamond necklace.","Eine exquisite Diamantkette."
der Edelstein,gem,"The box contained gold coins and several valuable gems.","Die Kiste enthielt Goldmünzen und mehrere wertvolle Edelsteine."
übertreiben / zu weit gehen,to go overboard,"Get a few snacks for the party, but don't go overboard.","Besorg ein paar Snacks für die Party, aber übertreib es nicht."
unwirtlich,inhospitable,"An inhospitable desert.","Eine unwirtliche Wüste."
an Bord,on board,"There were over a thousand passengers on board.","Es waren über tausend Passagiere an Bord."
widerstehen,to resist,"The bank has resisted increasing its charges.","Die Bank hat sich dagegen gewehrt, ihre Gebühren zu erhöhen."
verstreuen,to scatter,"My family are scattered across three different continents.","Meine Familie ist über drei verschiedene Kontinente verstreut."
das Gewürz,spice,"Add some spices to the dish.","Füge dem Gericht einige Gewürze hinzu."
atemberaubend / umwerfend,staggering,"The amount of data on the Internet is quite staggering.","Die Datenmenge im Internet ist ziemlich atemberaubend."
annehmen / berücksichtigen,to take on board,"We took his comments on board and revised the report.","Wir haben seine Kommentare berücksichtigt und den Bericht überarbeitet."
die Gezeiten,tide,"At low tide you have to walk 200 metres to reach the water.","Bei Ebbe muss man 200 Meter laufen, um das Wasser zu erreichen."
die Asche,ash,"Don't put hot ashes in the dustbin.","Gib keine heiße Asche in die Mülltonne."
die Dürre,drought,"Drought caused the annual rice harvest to fail.","Dürre führte zum Ausfall der jährlichen Reisernte."
ausbrechen,to erupt,"The volcano erupted three times between 1988 and 1995.","Der Vulkan brach zwischen 1988 und 1995 dreimal aus."
etw. klarstellen,to get something straight,"Let me get this straight.","Lass mich das klarstellen."
durchgehen,to go over,"Could you go over that again?","Könntest du das noch einmal durchgehen?"
die Meerenge,strait,"There's a strong current in the strait.","Es gibt eine starke Strömung in der Meerenge."
die Auktion,auction,"The contents of the house were sold at public auction.","Der Inhalt des Hauses wurde auf einer öffentlichen Auktion verkauft."
bieten,to bid,"I bid £20 for it on eBay and won.","Ich habe bei eBay 20 Pfund dafür geboten und gewonnen."
die Sorte / Art,breed,"He was one of a new breed of musicians.","Er war eine neue Art von Musiker."
das Herrschergeschlecht / die Dynastie,dynasty,"The royal dynasty ruled for over 600 years.","Die königliche Dynastie herrschte über 600 Jahre lang."
zurückführen,to repatriate,"The statues were repatriated.","Die Statuen wurden zurückgeführt."
einen Rekord brechen / schlagen,to smash a record,"She didn't just break the record, she absolutely smashed it.","Sie hat den Rekord nicht nur gebrochen, sie hat ihn pulverisiert."
in die Höhe schnellen,to soar,"Property prices in London have soared.","Immobilienpreise in London sind in die Höhe geschnellt."
die Lebenserwartung,life expectancy,"Life expectancy in the UK for women is now over 82 years.","Die Lebenserwartung für Frauen in Großbritannien liegt jetzt über 82 Jahren."
der Metalldetektor,metal detector,"Visitors to the prison have to pass through a metal detector.","Besucher des Gefängnisses müssen durch einen Metalldetektor gehen."
eng verbunden,close-knit,"He grew up in a very close-knit community.","Er wuchs in einer sehr eng verbundenen Gemeinschaft auf."
tief verwurzelt,deep-rooted,"She had a deep-rooted dislike of classical music.","Sie hatte eine tief verwurzelte Abneigung gegen klassische Musik."
die Großfamilie,extended family,"She got lots of support from her extended family.","Sie bekam viel Unterstützung von ihrer Großfamilie."
die Harmonie,harmony,"We need to learn to live in harmony.","Wir müssen lernen, in Harmonie zu leben."
langjährig,long-standing,"A long-standing friendship that began when we were in primary school.","Eine langjährige Freundschaft, die begann, als wir in der Grundschule waren."
warnen / alarmieren,to alert,"This will alert farmers to any emergency.","Dies wird Landwirte vor jedem Notfall warnen."
seinen Teil beitragen,to do your bit,"I want to do my bit for the village.","Ich möchte meinen Teil für das Dorf beitragen."
fruchtbar,fertile,"The females are fertile for only a short time every year.","Die Weibchen sind nur für kurze Zeit im Jahr fruchtbar."
der Lebensraum,habitat,"We need to do more to protect their natural habitat.","Wir müssen mehr tun, um ihren natürlichen Lebensraum zu schützen."
mitreden,to have a say,"I want to have a say in your decision.","Ich möchte bei deiner Entscheidung mitreden."
jdm. helfen / zur Hand gehen,to lend a hand,"She lent a hand when we were moving into the new house.","Sie ging uns zur Hand, als wir in das neue Haus zogen."
mobilisieren / aufbieten,to mobilize,"There's no time to wait, we need to mobilize now.","Es gibt keine Zeit zu warten, wir müssen jetzt mobilisieren."
eine Rolle spielen / sich einbringen,to play a part,"Religion plays a part in American elections.","Religion spielt bei amerikanischen Wahlen eine Rolle."
Besorgnis zeigen / Bedenken anmelden,to show concern,"He showed concern when he heard my mother was ill.","Er zeigte Besorgnis, als er hörte, dass meine Mutter krank war."
Verantwortung übernehmen,to take responsibility,"You need to take responsibility for your own actions.","Du musst Verantwortung für deine eigenen Handlungen übernehmen."
die Spur,trail,"Police used dogs to follow the trail.","Die Polizei setzte Hunde ein, um der Spur zu folgen."
konkurrenzlos,unrivalled,"The quality of the food here is unrivalled.","Die Qualität des Essens hier ist konkurrenzlos."
Neue Wörter,New words,"Example sentence here","Translation here"
zufrieden,content,"He was quite content living in Cornwall.","Er war recht zufrieden, in Cornwall zu leben."
böse / verärgert,cross,"I was really cross when I found out they'd left without me.","Ich war wirklich böse, als ich herausfand, dass sie ohne mich gegangen waren."
wachrufen / hervorrufen,to evoke,"The music evoked a mood of great optimism.","Die Musik rief eine Stimmung großen Optimismus hervor."
wütend,livid,"My mother was livid when she found out.","Meine Mutter war wütend, als sie es herausfand."
reinhauen / es in sich haben,to pack a punch,"The last verse of the song packs quite a punch.","Die letzte Strophe des Liedes hat es ganz schön in sich."
starr vor Angst,petrified,"I was petrified that I'd fall off the roof.","Ich war starr vor Angst, dass ich vom Dach fallen würde."
aus der Fassung gebracht / verblüfft,taken aback,"He was a bit taken aback when I told him I was a policeman.","Er war etwas verblüfft, als ich ihm sagte, dass ich Polizist bin."
niedergeschlagen,a bit down,"He looked a bit down so we took him to a restaurant.","Er sah etwas niedergeschlagen aus, also nahmen wir ihn mit in ein Restaurant."
durcheinander / chaotisch,all over the place,"My emotions were all over the place.","Meine Gefühle waren völlig durcheinander."
erledigt / fix und fertig,done in,"After eight hours of gardening he was totally done in.","Nach acht Stunden Gartenarbeit war er total erledigt."
düster / bedrückt,gloomy,"The future for the school looked gloomy.","Die Zukunft für die Schule sah düster aus."
das Bauchgefühl,gut feeling,"Always go with your gut feeling as a parent.","Hör als Elternteil immer auf dein Bauchgefühl."
für einen Moment,momentarily,"He lost consciousness momentarily.","Er verlor für einen Moment das Bewusstsein."
quälend / nagend,nagging,"She developed a nagging cough.","Sie entwickelte einen quälenden Husten."
angespannt / nervös,on edge,"I was on edge all morning before the exam.","Ich war den ganzen Morgen vor der Prüfung angespannt."
etw. mitkriegen / bemerken,to pick up on,"The audience picked up on what he was trying to say.","Das Publikum bekam mit, was er zu sagen versuchte."
reiben,to rub,"Alice yawned and rubbed her eyes.","Alice gähnte und rieb sich die Augen."
sprachlos,speechless,"The news left him speechless.","Die Nachricht machte ihn sprachlos."
völlig aus dem Häuschen / überglücklich,thrilled to bits,"She was thrilled to bits when they told her she'd got the job.","Sie war völlig aus dem Häuschen, als sie ihr sagten, sie hätte den Job."
euphorisch / optimistisch,upbeat,"Being upbeat and optimistic really aids recovery.","Euphorisch und optimistisch zu sein hilft wirklich bei der Genesung."
verschwinden,to vanish,"The boat had vanished without trace.","Das Boot war spurlos verschwunden."
deutlich sprechen / aussprechen,to articulate,"She had difficulty articulating her inner feelings.","Sie hatte Schwierigkeiten, ihre inneren Gefühle auszusprechen."
artikuliert / wortgewandt,articulate,"He delivered a fascinating and articulate speech.","Er hielt eine faszinierende und wortgewandte Rede."
leer / unbeschrieben,blank,"A blank piece of paper.","Ein leeres Blatt Papier."
absichtlich,deliberate,"A deliberate mistake.","Ein absichtlicher Fehler."
beratschlagen,to deliberate,"The jury deliberated for six hours before deciding he was guilty.","Die Jury beratschlagte sechs Stunden lang, bevor sie entschied, dass er schuldig war."
das Dilemma / die Zwickmühle,dilemma,"I'm in a dilemma about which university to choose.","Ich stecke in einem Dilemma, welche Universität ich wählen soll."
das Duplikat / die Kopie,duplicate (noun/adj),"My neighbour has a duplicate key in case I lose mine.","Mein Nachbar hat einen Zweitschlüssel, falls ich meinen verliere."
vervielfältigen / duplizieren,to duplicate (verb),"Other scientists have yet to duplicate the results.","Andere Wissenschaftler müssen die Ergebnisse noch duplizieren."
näher ausführen / erläutern,to elaborate,"I'll elaborate on this idea in the next lecture.","Ich werde diese Idee in der nächsten Vorlesung näher erläutern."
aufwändig / durchdacht,elaborate (adj),"They served a very elaborate meal that went on for three hours.","Sie servierten ein sehr aufwändiges Essen, das drei Stunden dauerte."
das Lotteriespiel / Wagnis,gamble,"Calling an early election was a huge political gamble.","Neuwahlen auszurufen war ein riesiges politisches Wagnis."
unvollkommen,imperfect,"We live in an imperfect world.","Wir leben in einer unvollkommenen Welt."
intuitiv,intuitive,"The program is very intuitive.","Das Programm ist sehr intuitiv."
plausibel,plausible,"I couldn't think of a plausible explanation for the incident.","Mir fiel keine plausible Erklärung für den Vorfall ein."
trennen,to separate,"We need to separate the truth from the lies.","Wir müssen die Wahrheit von den Lügen trennen."
getrennt,separate (adj),"The two groups were completely separate.","Die beiden Gruppen waren völlig getrennt."
nicht mehr feierlich / geht zu weit,beyond a joke,"The amount of spam in my inbox is beyond a joke.","Die Menge an Spam in meinem Posteingang ist nicht mehr feierlich."
zweifelsohne,beyond doubt,"His loyalty to the government is beyond doubt.","Seine Loyalität zur Regierung steht zweifelsohne fest."
mir unbegreiflich,beyond me,"Why so many Americans want to have guns is beyond me.","Warum so viele Amerikaner Waffen haben wollen, ist mir unbegreiflich."
bis zur Unkenntlichkeit,beyond recognition,"Most of the victims were burned beyond recognition.","Die meisten Opfer waren bis zur Unkenntlichkeit verbrannt."
die Mittel übersteigend / über seine Verhältnisse,beyond someone's means,"You need to change your lifestyle as you're obviously living beyond your means.","Du musst deinen Lebensstil ändern, da du offensichtlich über deine Verhältnisse lebst."
mehr als seine Pflicht tun,beyond the call of duty,"He went far beyond the call of duty to ensure the project finished on time.","Er tat weit mehr als seine Pflicht, um sicherzustellen, dass das Projekt pünktlich fertig wurde."
absonderlich / bizarr,bizarre,"The idea of eating a chocolate ant sounds bizarre.","Die Idee, eine Schokoladenameise zu essen, klingt bizarr."
gemacht / gefertigt (-crafted),-crafted,"A beautifully-crafted flower arrangement.","Ein wunderschön gefertigtes Blumenarrangement."
etw. nicht erreichen / hinter den Erwartungen zurückbleiben,to fall short,"The report fell short of our expectations.","Der Bericht blieb hinter unseren Erwartungen zurück."
einförmig / monoton,monotonous,"She felt her daily life had become monotonous.","Sie hatte das Gefühl, ihr tägliches Leben sei eintönig geworden."
überholt / veraltet,obsolete,"Very soon, credit cards will be obsolete technology.","Sehr bald werden Kreditkarten eine veraltete Technologie sein."
die Meinung,opinion,"In my opinion, we should sell the company.","Meiner Meinung nach sollten wir die Firma verkaufen."
die Feinheit,subtlety,"It was easy to miss the subtleties in her speech.","Es war leicht, die Feinheiten in ihrer Rede zu übersehen."
riskieren / wagen (Meinung),to venture,"She ventured a mild criticism of the chairman.","Sie wagte eine leichte Kritik am Vorsitzenden."
schroff / abrupt,abrupt,"Sorry, that probably sounded a bit abrupt.","Entschuldigung, das klang wahrscheinlich etwas schroff."
abgelenkt,distracted,"She seemed a little distracted during the meal.","Sie wirkte während des Essens etwas abgelenkt."
zurückhaltend / vorsichtig,guarded,"His reaction was a very guarded welcome.","Seine Reaktion war eine sehr zurückhaltende Begrüßung."
verletzen / kränken,to offend,"Sorry, I didn't mean to offend you.","Entschuldigung, ich wollte dich nicht kränken."
verblüfft / verwirrt,puzzled,"People were puzzled when I said I lived in a basement flat.","Die Leute waren verblüfft, als ich sagte, dass ich in einer Kellerwohnung lebe."
sachlich / auf den Punkt,to the point,"His response was quick and to the point.","Seine Antwort war schnell und auf den Punkt."
die Geste,gesture,"The waiter didn't speak English so we used hand gestures.","Der Kellner sprach kein Englisch, also benutzten wir Handgesten."
die Prämisse / Voraussetzung,premise,"The basic premise of the book was just wrong.","Die Grundprämisse des Buches war einfach falsch."
die Feineinstellung / Optimierung,tweak,"With a few tweaks here and there your essay should get a very good mark.","Mit ein paar Optimierungen hier und da sollte dein Aufsatz eine sehr gute Note bekommen."
der Schandfleck,blot,"The old mine is a blot on the landscape.","Die alte Mine ist ein Schandfleck in der Landschaft."
die Kohle,coal,"We used to produce a lot of coal in Wales.","Wir haben früher viel Kohle in Wales produziert."
die Düne,dune,"There were sand dunes on the edge of the beach.","Am Rande des Strandes gab es Sanddünen."
üppig bewachsen,lush,"We found ourselves in a lush, green valley.","Wir fanden uns in einem üppig bewachsenen, grünen Tal wieder."
zerklüftet / schroff,rugged,"The route included a section of very steep terrain.","Die Route beinhaltete einen Abschnitt mit sehr steilem Gelände."
das Ausmaß,scale,"The scale of the problem was frightening.","Das Ausmaß des Problems war beängstigend."
schneebedeckt,snow-capped,"In the distance we could see the snow-capped mountains.","In der Ferne konnten wir die schneebedeckten Berge sehen."
karg / spärlich,sparse,"A large country with a relatively sparse population.","Ein großes Land mit einer relativ spärlichen Bevölkerung."
das Gelände,terrain,"These boots are good for walking over rough terrain.","Diese Stiefel eignen sich gut zum Gehen in unwegsamem Gelände."
die Vegetation,vegetation,"Most of the island is covered in vegetation.","Der größte Teil der Insel ist mit Vegetation bedeckt."
aktiv,active,"She stayed active well into her eighties.","Sie blieb bis weit in ihre Achtziger aktiv."
fortschrittlich,advanced,"The industrially advanced nations of the north.","Die industriell fortschrittlichen Nationen des Nordens."
das Aerosol / Spraydose,aerosol,"Don't leave aerosol containers near the cooker.","Lassen Sie Spraydosen nicht in der Nähe des Herdes liegen."
stümperhaft / amateurhaft,amateurish,"Spelling mistakes in the article make the whole magazine look amateurish.","Rechtschreibfehler im Artikel lassen das ganze Magazin stümperhaft wirken."
entsetzlich,appalling,"Children were forced to work in appalling conditions.","Kinder wurden gezwungen, unter entsetzlichen Bedingungen zu arbeiten."
sich etw. bewusst sein,aware,"I wasn't aware that she was back in London.","Ich war mir nicht bewusst, dass sie wieder in London war."
kulturell,culturally,"A culturally significant exhibition.","Eine kulturell bedeutende Ausstellung."
wirtschaftlich,economically,"The village has suffered economically since the factory closed down.","Das Dorf hat wirtschaftlich gelitten, seit die Fabrik geschlossen wurde."
umweltfreundlich,environmentally-friendly,"Please use environmentally-friendly soap and shampoo.","Bitte verwenden Sie umweltfreundliche Seife und Shampoo."
ethnisch,ethnically,"London is an ethnically exciting city.","London ist eine ethnisch aufregende Stadt."
berühmt,famous,"Messi is the most famous footballer in the world.","Messi ist der berühmteste Fußballer der Welt."
geographisch,geographically,"Armenia is geographically located within Western Asia.","Armenien liegt geographisch in Westasien."
die Halbkugel,hemisphere,"It's spring now in the northern hemisphere.","Auf der nördlichen Halbkugel ist jetzt Frühling."
homogen / gleichartig,homogenous,"Anyone can tell you that Singapore is not a homogenous society.","Jeder kann dir sagen, dass Singapur keine homogene Gesellschaft ist."
industriell,industrially,"Cheap, industrially produced consumer goods.","Billige, industriell hergestellte Konsumgüter."
intellektuell,intellectually,"Her poems are intellectually very satisfying.","Ihre Gedichte sind intellektuell sehr befriedigend."
international,internationally,"The company sells its products both at home and internationally.","Das Unternehmen verkauft seine Produkte sowohl im Inland als auch international."
gebildet / des Lesens und Schreibens kundig,literate,"In 1600, very few ordinary people were literate.","Im Jahr 1600 waren nur sehr wenige gewöhnliche Menschen des Lesens und Schreibens kundig."
musikalisch,musically,"Musically, the two operas have a lot in common.","Musikalisch haben die beiden Opern viel gemeinsam."
körperlich,physically,"You need to be physically fit to do this job.","Du musst körperlich fit sein, um diesen Job zu machen."
politisch,politically,"She came from a politically influential family.","Sie stammte aus einer politisch einflussreichen Familie."
politisch korrekt,politically correct,"I'd say he was mad, but that wouldn't be politically correct.","Ich würde sagen, er war verrückt, aber das wäre nicht politisch korrekt."
abgelegen,remote,"He comes from a remote town in Australia.","Er kommt aus einer abgelegenen Stadt in Australien."
üppig / voller ... sein / reich an,rich,"This area is rich in wildlife.","Dieses Gebiet ist reich an Wildtieren."
schlafen(d),asleep,"Don't wake the baby – he's asleep.","Weck das Baby nicht auf – er schläft."
schwarz,black,"A black car was parked outside.","Ein schwarzes Auto parkte draußen."
der Star / die Prominenz,celebrity,"He didn't want his celebrity to change the way he lived.","Er wollte nicht, dass seine Prominenz seine Lebensweise verändert."
deutlich / klar,clear,"A beautiful autumn day with clear skies.","Ein schöner Herbsttag mit klarem Himmel."
kalt,cold,"If you're cold, put your coat on.","Wenn dir kalt ist, zieh deinen Mantel an."
trocken,dry,"Tomorrow is expected to be sunny and dry.","Morgen soll es sonnig und trocken werden."
die Existenz,existence,"She simply ignored my existence.","Sie ignorierte einfach meine Existenz."
hart,hard,"I didn't want to go to sleep on the hard, wooden floor.","Ich wollte nicht auf dem harten Holzboden schlafen."
neu,new,"I need a new suit for work.","Ich brauche einen neuen Anzug für die Arbeit."
offen,open,"The envelope was already open when it was delivered.","Der Umschlag war bereits offen, als er zugestellt wurde."
überwuchert,overgrown,"The path was overgrown and difficult to follow.","Der Pfad war überwuchert und schwer zu folgen."
tiefsinnig / bedeutend,profound,"This simple idea has profound evolutionary implications.","Diese einfache Idee hat tiefgreifende evolutionäre Auswirkungen."
schnell,quick,"We got a very quick response from our MP.","Wir bekamen eine sehr schnelle Antwort von unserem Abgeordneten."
erschrocken / ängstlich,scared,"I thought I heard someone downstairs and got really scared.","Ich dachte, ich hätte jemanden unten gehört, und bekam wirklich Angst."
das Spray,spray,"Don't forget to use the shower curtain, otherwise the spray will soak the floor.","Vergiss nicht, den Duschvorhang zu benutzen, sonst durchnässt das Spray den Boden."
nass,wet,"Careful – the floor's wet.","Vorsicht – der Boden ist nass."
besorgt,worried,"I'm worried about my exams.","Ich bin besorgt wegen meiner Prüfungen."
die Gasse,alley,"I didn't like walking down that dark alley alone at night.","Ich mochte es nicht, nachts allein durch diese dunkle Gasse zu gehen."
das Wildschwein,boar,"The boar turned and ran away when he saw us.","Das Wildschwein drehte sich um und rannte weg, als es uns sah."
gewagt / kühn / frech,bold,"It was very bold of him to ask for another pay rise.","Es war sehr kühn von ihm, nach einer weiteren Gehaltserhöhung zu fragen."
